Point,X,Y,Wavelength,Velocity
1,1.75,21,6.75,6304.
1,1.75,21,7.25,6343.
1,1.75,21,7.75,6439.
1,1.75,21,8.25,6545.
1,1.75,21,8.75,6664.
1,1.75,21,9.25,6741.
1,1.75,21,9.75,6722.
1,1.75,21,10.25,6784.
1,1.75,21,10.25,6784.
1,1.75,21.5,2.25,6602.
1,1.75,21.5,2.75,6561.
1,1.75,21.5,3.25,6355.
1,1.75,21.5,3.75,6179.
1,1.75,21.5,4.25,6124.
1,1.75,21.5,4.75,6193.
1,1.75,21.5,5.25,6113.
1,1.75,21.5,5.75,6051.
1,1.75,21.5,6.25,6003.
1,1.75,21.5,6.75,5951.
1,1.75,21.5,7.25,5964.
1,1.75,21.5,7.75,6009.
1,1.75,21.5,8.25,6079.
1,1.75,21.5,8.75,6178.
1,1.75,21.5,9.25,6280.
1,1.75,21.5,9.75,6381.
1,1.75,21.5,10.25,6502.
1,1.75,21.5,10.75,6593.
1,1.75,21.5,11.25,6614.
1,1.75,21.5,11.75,6498.
1,1.75,21.5,11.75,6498.
1,1.75,22.5,2.25,6754.
1,1.75,22.5,2.75,6690.
1,1.75,22.5,3.25,6636.
1,1.75,22.5,3.75,6518.
1,1.75,22.5,4.25,6447.
1,1.75,22.5,4.75,6301.
1,1.75,22.5,5.25,6269.
1,1.75,22.5,5.75,6316.
1,1.75,22.5,6.25,6416.
1,1.75,22.5,6.75,6515.
1,1.75,22.5,7.25,6580.
1,1.75,22.5,7.75,6616.
1,1.75,22.5,8.25,6637.
1,1.75,22.5,8.75,6576.
1,1.75,22.5,9.25,6568.
1,1.75,22.5,9.75,6683.
1,1.75,22.5,10.25,6837.
1,1.75,22.5,10.25,6837.
1,1.75,23,2.25,6394.
1,1.75,23,2.75,6402.
1,1.75,23,3.25,6243.
1,1.75,23,3.75,6227.
1,1.75,23,4.25,6173.
1,1.75,23,4.75,6175.
1,1.75,23,5.25,6032.
1,1.75,23,5.75,5845.
1,1.75,23,6.25,5758.
1,1.75,23,6.75,5783.
1,1.75,23,7.25,5804.
1,1.75,23,7.75,5833.
1,1.75,23,8.25,5903.
1,1.75,23,8.75,6015.
1,1.75,23,9.25,6120.
1,1.75,23,9.75,6254.
1,1.75,23,10.25,6402.
1,1.75,23,10.75,6518.
1,1.75,23,11.25,6594.
1,1.75,23.5,2.75,6239.
1,1.75,23.5,3.25,6146.
1,1.75,23.5,3.75,6478.
1,1.75,23.5,4.25,6474.
1,1.75,23.5,4.75,6616.
1,1.75,23.5,5.25,6529.
1,1.75,23.5,5.75,6079.
